P.1.1	12.700	0.000	0.000	-0.000	-4.882	-0.986	-0.072	0.000	-0.000	enhetslast
P.1.1	12.800	0.000	0.000	-0.000	-4.866	-0.986	-0.075	0.000	-0.000	enhetslast
P.1.1	12.900	0.000	0.000	-0.000	-4.851	-0.986	-0.081	0.000	-0.000	enhetslast
P.1.1	13.000	0.000	0.000	-0.000	-4.837	-0.986	-0.087	0.000	-0.000	enhetslast
P.1.1	13.100	0.000	0.000	-0.000	-4.821	-0.986	-0.091	0.000	-0.000	enhetslast
P.1.1	13.200	0.000	0.000	-0.000	-4.805	-0.986	-0.095	0.000	-0.000	enhetslast
P.1.1	13.300	0.000	0.000	-0.000	-4.790	-0.986	-0.099	0.000	-0.000	enhetslast
P.1.1	13.400	0.000	0.000	-0.000	-4.773	-0.986	-0.102	0.000	-0.000	enhetslast
P.1.1	13.500	0.000	0.000	-0.000	-4.749	-0.986	-0.106	0.000	-0.000	enhetslast
P.1.1	13.600	0.000	0.000	-0.000	-4.726	-0.986	-0.110	0.000	-0.000	enhetslast
P.1.1	13.700	0.000	0.000	-0.000	-4.702	-0.986	-0.114	0.000	-0.000	enhetslast
P.1.1	13.800	0.000	0.000	-0.000	-4.679	-0.986	-0.118	0.000	-0.000	enhetslast
P.1.1	13.900	0.000	0.000	-0.000	-4.658	-0.986	-0.125	0.000	-0.000	enhetslast
P.1.1	14.000	0.000	0.000	-0.000	-4.635	-0.986	-0.129	0.000	-0.000	enhetslast
P.1.1	14.100	0.000	0.000	-0.000	-4.611	-0.986	-0.133	0.000	-0.000	enhetslast
P.1.1	14.200	0.000	0.000	-0.000	-4.588	-0.986	-0.137	0.000	-0.000	enhetslast
P.1.1	14.300	0.000	0.000	-0.000	-4.564	-0.986	-0.141	0.000	-0.000	enhetslast
P.1.1	14.400	0.000	0.000	-0.000	-4.537	-0.986	-0.144	0.000	-0.000	enhetslast
P.1.1	14.500	0.000	0.000	-0.000	-4.505	-0.986	-0.148	0.000	-0.000	enhetslast
P.1.1	14.600	0.000	0.000	-0.000	-4.474	-0.986	-0.152	0.000	-0.000	enhetslast
P.1.1	14.700	0.000	0.000	-0.000	-4.442	-0.986	-0.155	0.000	-0.000	enhetslast
P.1.1	14.800	0.000	0.000	-0.000	-4.412	-0.986	-0.160	0.000	-0.000	enhetslast
P.1.1	14.900	0.000	0.000	-0.000	-4.384	-0.987	-0.167	0.000	-0.000	enhetslast
P.1.1	15.000	0.000	0.000	-0.000	-4.353	-0.987	-0.171	0.000	-0.000	enhetslast
P.1.1	15.100	0.000	0.000	-0.000	-4.322	-0.987	-0.174	0.000	-0.000	enhetslast
P.1.1	15.200	0.000	0.000	-0.000	-4.290	-0.987	-0.178	0.000	-0.000	enhetslast
P.1.1	15.300	0.000	0.000	-0.000	-4.259	-0.987	-0.182	0.000	-0.000	enhetslast
P.1.1	15.400	0.001	0.000	-0.000	-4.221	-0.987	-0.186	0.000	-0.000	enhetslast
P.1.1	15.500	0.001	0.000	-0.000	-4.182	-0.987	-0.189	0.000	-0.000	enhetslast
P.1.1	15.600	0.001	0.000	-0.000	-4.143	-0.987	-0.193	0.000	-0.000	enhetslast
P.1.1	15.700	0.001	0.000	-0.000	-4.104	-0.987	-0.196	0.000	-0.000	enhetslast
P.1.1	15.800	0.001	0.000	-0.000	-4.068	-0.987	-0.203	0.000	-0.000	enhetslast
P.1.1	15.900	0.001	0.000	-0.001	-4.031	-0.987	-0.208	0.000	-0.000	enhetslast
P.1.1	16.000	0.001	0.000	-0.001	-3.992	-0.987	-0.211	0.000	-0.000	enhetslast
P.1.1	16.100	0.001	0.000	-0.001	-3.953	-0.987	-0.215	0.000	-0.000	enhetslast
P.1.1	16.200	0.001	0.000	-0.001	-3.915	-0.987	-0.219	0.000	-0.000	enhetslast
P.1.1	16.300	0.001	0.000	-0.001	-3.873	-0.987	-0.222	0.000	-0.000	enhetslast
P.1.1	16.400	0.001	0.000	-0.001	-3.826	-0.987	-0.226	0.000	-0.000	enhetslast
P.1.1	16.500	0.001	0.000	-0.001	-3.780	-0.987	-0.229	0.000	-0.000	enhetslast
P.1.1	16.600	0.001	0.000	-0.001	-3.733	-0.987	-0.233	0.000	-0.000	enhetslast
P.1.1	16.700	0.001	0.000	-0.001	-3.688	-0.987	-0.237	0.000	-0.000	enhetslast
P.1.1	16.800	0.001	0.000	-0.001	-3.647	-0.987	-0.244	0.000	-0.000	enhetslast
P.1.1	16.900	0.001	0.000	-0.001	-3.601	-0.987	-0.248	0.000	-0.000	enhetslast
P.1.1	17.000	0.001	0.000	-0.001	-3.554	-0.987	-0.251	0.000	-0.000	enhetslast
P.1.1	17.100	0.002	0.000	-0.001	-3.508	-0.987	-0.255	0.000	-0.000	enhetslast
P.1.1	17.200	0.002	0.000	-0.001	-3.462	-0.987	-0.258	0.001	-0.000	enhetslast
P.1.1	17.300	0.002	0.001	-0.001	-3.409	-0.987	-0.262	0.001	-0.000	enhetslast
P.1.1	17.400	0.002	0.001	-0.001	-3.355	-0.987	-0.265	0.001	-0.000	enhetslast
P.1.1	17.500	0.002	0.001	-0.001	-3.302	-0.987	-0.269	0.001	-0.000	enhetslast
P.1.1	17.600	0.002	0.001	-0.001	-3.248	-0.987	-0.272	0.000	-0.000	enhetslast
P.1.1	17.700	0.002	0.001	-0.001	-3.198	-0.988	-0.278	0.000	-0.000	enhetslast
P.1.1	17.800	0.002	0.001	-0.001	-3.147	-0.988	-0.283	0.000	-0.000	enhetslast
P.1.1	17.900	0.002	0.001	-0.001	-3.094	-0.988	-0.287	0.000	-0.000	enhetslast
P.1.1	18.000	0.003	0.001	-0.002	-3.040	-0.988	-0.290	0.001	-0.000	enhetslast
P.1.1	18.100	0.003	0.001	-0.002	-2.986	-0.988	-0.294	0.001	-0.000	enhetslast
P.1.1	18.200	0.003	0.001	-0.002	-2.930	-0.988	-0.297	0.001	-0.000	enhetslast
P.1.1	18.300	0.003	0.001	-0.002	-2.869	-0.988	-0.301	0.001	-0.000	enhetslast
P.1.1	18.400	0.003	0.001	-0.002	-2.808	-0.988	-0.304	0.001	-0.000	enhetslast
P.1.1	18.500	0.004	0.001	-0.002	-2.747	-0.988	-0.308	0.001	-0.000	enhetslast
P.1.1	18.600	0.004	0.001	-0.002	-2.686	-0.987	-0.312	0.001	-0.000	enhetslast
